true_L,true_R,prob_L,prob_R,pred_L,pred_R
1.000000000000000000e+00,1.000000000000000000e+00,8.679768443107604980e-01,7.522612810134887695e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.532348275184631348e-01,7.669917345046997070e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.194408416748046875e-01,8.507947325706481934e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.078802824020385742e-01,8.624428510665893555e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.732186913490295410e-01,9.023388028144836426e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.766808271408081055e-01,8.810089826583862305e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.809966206550598145e-01,8.927736282348632812e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.934150695800781250e-01,8.652295470237731934e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.674889564514160156e-01,8.816136121749877930e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.388461232185363770e-01,8.807508349418640137e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.223543524742126465e-01,9.177364110946655273e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.277350425720214844e-01,9.075949788093566895e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.857015490531921387e-01,9.243229627609252930e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.297364234924316406e-01,9.423480629920959473e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.153433322906494141e-01,9.645065069198608398e-01,1.000000000000000000e+00,1.000000000000000000e+00
